"ScanNumber, ScanName, ScanPointNumber, PCCRates per bx, PCCRateErr per bx"
Scan_1
"[('41', 0.1231537192115702), ('281', 0.13748086977064267), ('872', 0.12666714506853108), ('1783', 0.13044636908727514), ('2063', 0.15391090125230958)]"
"[('41', 0.0011211130295346458), ('281', 0.0011918569911427647), ('872', 0.0011461903195754727), ('1783', 0.0011581028561687883), ('2063', 0.0012591171956182873)]"
3,Y2,12
"[('41', 0.15132800558080367), ('281', 0.17028130578410652), ('872', 0.15219328342158359), ('1783', 0.1638842686708146), ('2063', 0.19123301717508331)]"
"[('41', 0.0012494211082758001), ('281', 0.001318995503226152), ('872', 0.0012488460638752702), ('1783', 0.0012973259403646878), ('2063', 0.0013963791768939952)]"
3,Y2,13
"[('41', 0.15645162944802896), ('281', 0.18345983263169754), ('872', 0.16777834787070292), ('1783', 0.17804467783954542), ('2063', 0.20538005213785743)]"
"[('41', 0.0012685599433178759), ('281', 0.0013728124521081931), ('872', 0.0013179289553782627), ('1783', 0.0013492943084455762), ('2063', 0.0014534574235323628)]"
3,Y2,14
"[('41', 0.15123070061800498), ('281', 0.17039988132827566), ('872', 0.15422669030456798), ('1783', 0.16638578863132902), ('2063', 0.19171160460277695)]"
"[('41', 0.0012714985847726689), ('281', 0.0013455119633819144), ('872', 0.0012838299542725356), ('1783', 0.0013320453628247345), ('2063', 0.0014329299640664513)]"
3,Y2,15
"[('41', 0.12535841493784167), ('281', 0.13610355035463811), ('872', 0.12585027268220128), ('1783', 0.13034194400580004), ('2063', 0.15571737534474892)]"
"[('41', 0.0011155909206123501), ('281', 0.0011637546334208283), ('872', 0.0011206386454041132), ('1783', 0.0011369542401678794), ('2063', 0.0012456812252059895)]"
3,Y2,16
"[('41', 0.088150170368241715), ('281', 0.096109675567039907), ('872', 0.086537178974153764), ('1783', 0.09053257470910861), ('2063', 0.10465056657950059)]"
"[('41', 0.00095087258495635003), ('281', 0.00099521686341863969), ('872', 0.00094419846673768544), ('1783', 0.00096373996336159224), ('2063', 0.0010325878577327526)]"
3,Y2,17
"[('41', 0.0557525206984179), ('281', 0.054967050563527749), ('872', 0.052405507088890482), ('1783', 0.053402292481195289), ('2063', 0.062751977348967466)]"
"[('41', 0.00075740337907038156), ('281', 0.00075280008528006337), ('872', 0.00073110315833384754), ('1783', 0.0007391397367515404), ('2063', 0.00080300463987248286)]"
3,Y2,18
"[('41', 0.032719227754794286), ('281', 0.027634228354345002), ('872', 0.027116592417672915), ('1783', 0.025875614073470037), ('2063', 0.031809973607445481)]"
"[('41', 0.00057043985392738947), ('281', 0.00052213806812041134), ('872', 0.00051925753203278802), ('1783', 0.00050927849043213398), ('2063', 0.00056039764917280429)]"
3,Y2,19
"[('41', 0.01614904284879369), ('281', 0.012302483069977426), ('872', 0.012192500230336906), ('1783', 0.011416651252646074), ('2063', 0.014731511286982552)]"
"[('41', 0.00040802259278239036), ('281', 0.00035577126133560366), ('872', 0.00035440201036971829), ('1783', 0.00034179388790123513), ('2063', 0.000388726751189942)]"
3,Y2,20
"[('41', 0.0075979665557714899), ('281', 0.0046497790804015116), ('872', 0.0043040343442126696), ('1783', 0.0041944374293149452), ('2063', 0.0054752134126270051)]"
"[('41', 0.00028940306421204294), ('281', 0.00022582085758154487), ('872', 0.00021775262366573541), ('1783', 0.00021415553951429297), ('2063', 0.00024541539966745855)]"
3,Y2,21
"[('41', 0.0027086924402856438), ('281', 0.0013955015596782137), ('872', 0.0014451607613229884), ('1783', 0.0013539016985312218), ('2063', 0.0017331911227796693)]"
"[('41', 0.00016648256141854671), ('281', 0.000119579747233722), ('872', 0.00012161651806697502), ('1783', 0.00011776221676428399), ('2063', 0.00013399405549784302)]"
3,Y2,22
"[('41', 0.0010882110469909315), ('281', 0.00056009488666315232), ('872', 0.00048376634085736588), ('1783', 0.00045121387537692866), ('2063', 0.00061408895517150628)]"
"[('41', 0.00010930980066860847), ('281', 7.8407004586763962e-05), ('872', 7.2912877147292594e-05), ('1783', 7.0451868522775841e-05), ('2063', 8.2035888128504912e-05)]"
3,Y2,23
"[('41', 0.00038913295034458746), ('281', 0.00023655980334680695), ('872', 0.00023595793793280327), ('1783', 0.00010242228708967071), ('2063', 0.00020510085834709219)]"
"[('41', 6.4753629618784824e-05), ('281', 4.9320294149573326e-05), ('872', 4.9194826187983021e-05), ('1783', 3.2387112328225728e-05), ('2063', 4.5857242747324451e-05)]"
3,Y2,24
"[('41', 7.1857516809526259e-05), ('281', 2.050609030882172e-05), ('872', 1.0228190939868465e-05), ('1783', 3.0780911730605462e-05), ('2063', 8.2141427001940586e-05)]"
"[('41', 2.7158612644841213e-05), ('281', 1.4499846843120686e-05), ('872', 1.022813863178976e-05), ('1783', 1.7771094162012575e-05), ('2063', 2.9040187250012757e-05)]"
3,Y2,25
"[('41', 2.0494953117794742e-05), ('281', 2.0481101063993199e-05), ('872', 1.0257672739208928e-05), ('1783', 3.0816957544504826e-05), ('2063', 1.0265675686773703e-05)]"
"[('41', 1.4491971821268751e-05), ('281', 1.4482177140771648e-05), ('872', 1.0257620129149002e-05), ('1783', 1.7791904581404644e-05), ('2063', 1.0265622994589824e-05)]"
Scan_4
4,X2,1
"[('41', 3.0776490864511626e-05), ('281', 1.0248526774276198e-05), ('872', 1.0261672652642381e-05), ('1783', 0.0), ('2063', 1.0267467529133939e-05)]"
"[('41', 1.7768541852343352e-05), ('281', 1.0248474257991124e-05), ('872', 1.026162000154449e-05), ('1783', 0.0), ('2063', 1.0267414818553908e-05)]"
4,X2,2
"[('41', 0.00014347937483986676), ('281', 4.1016386046225465e-05), ('872', 4.1059752204395445e-05), ('1783', 4.0969754079051142e-05), ('2063', 7.1939488613006653e-05)]"
"[('41', 3.8343724845641979e-05), ('281', 2.0507772432818844e-05), ('872', 2.0529454622058447e-05), ('1783', 2.0484457405040123e-05), ('2063', 2.7189592846694943e-05)]"
4,X2,3
"[('41', 0.00040348697692691577), ('281', 0.00024437148715987208), ('872', 0.00027549668874172188), ('1783', 0.00026524073248880683), ('2063', 0.00024371635654643327)]"
"[('41', 6.5441024507705584e-05), ('281', 5.0948751105178001e-05), ('872', 5.4021902873793528e-05), ('1783', 5.3041110766572681e-05), ('2063', 5.0812180269656218e-05)]"
4,X2,4
"[('41', 0.001034857271665403), ('281', 0.00066669401821613196), ('872', 0.00071786036590368362), ('1783', 0.00071788981416909378), ('2063', 0.00078023140020737727)]"
"[('41', 0.00010291885265735745), ('281', 8.2665645469579826e-05), ('872', 8.5769922684849896e-05), ('1783', 8.5773439898366357e-05), ('2063', 9.063417581169463e-05)]"
4,X2,5
"[('41', 0.0026741088956566952), ('281', 0.0023947019867549667), ('872', 0.0023873438942353603), ('1783', 0.0022620109596023959), ('2063', 0.0022371601849103017)]"
