Scan,Type,BCID,sigma,sigmaErr,Amp,AmpErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
6,Y,2814,0.1241347731867286,0.0,0.017325176467023116,2.9480969030678378e-05,-0.003368604916428881,0.0001735511465523509,3.7273567864055116e-05,2.1261454365395506e-06,0.1241347731867286,0.0,0.017325176467023116,2.9480969030678378e-05,0.005390897272131397,9.173290432555235e-06,0,43.58111649232721,15
6,Y,2854,0.12866937809864076,0.0,0.01647777582026662,2.5045298370695973e-05,-0.003010586853613603,0.00015981047230586285,3.43340460530156e-05,2.3568019518835375e-06,0.12866937809864076,0.0,0.01647777582026662,2.5045298370695973e-05,0.005314516087663372,8.077767446482914e-06,0,32.46210119586235,15
6,Y,2894,0.12489751387459551,0.0,0.01732001888013677,2.779779908483393e-05,-0.0030940040327477485,0.00015720212419798304,3.8352712159452904e-05,1.8164180589883004e-06,0.12489751387459551,0.0,0.01732001888013677,2.779779908483393e-05,0.005422406710598352,8.702702539795267e-06,0,25.60754142846442,15
6,Y,2934,0.12224723141712236,0.0,0.01799050109512989,2.8183877490062143e-05,-0.00317410922057604,0.00014613937876151696,4.013716076897045e-05,1.7137104844885963e-06,0.12224723141712236,0.0,0.01799050109512989,2.8183877490062143e-05,0.005512799867873916,8.63633954839919e-06,0,53.85267845614983,15
7,X,1,0.13346525609247736,0.0,0.012506336129952242,2.4126682639798498e-05,0.0022231524066004668,0.00019103943132497367,4.1016052368786914e-05,2.8641693422842833e-06,0.13346525609247736,0.0,0.012506336129952242,2.4126682639798498e-05,0.004183967045766864,8.071528226946663e-06,0,43.94236604215838,15
7,X,41,0.13630609135572194,0.0,0.015105694158728988,3.0068529710950577e-05,0.0022986449133846273,0.00018348620198324465,3.17718314044807e-05,3.402761281514345e-06,0.13630609135572194,0.0,0.015105694158728988,3.0068529710950577e-05,0.005161142925035314,1.0273475535330473e-05,0,24.96402259061176,15
7,X,81,0.13612324742325746,0.0,0.01558027008985372,2.2423260484432833e-05,0.002360446263724188,0.00016282065573593987,3.519420711705912e-05,3.52182279425628e-06,0.13612324742325746,0.0,0.01558027008985372,2.2423260484432833e-05,0.005316149890726697,7.651049249247838e-06,0,21.983989187421322,15
7,X,121,0.13540787680073557,0.0,0.015980244772518026,2.706032685539579e-05,0.002130353811529342,0.00016975951535945928,2.3090154731104652e-05,3.730560469569489e-06,0.13540787680073557,0.0,0.015980244772518026,2.706032685539579e-05,0.005423970137297457,9.18474071320797e-06,0,69.09595016880053,15
7,X,161,0.13147792462886038,0.0,0.016904122288233337,3.33166736514781e-05,0.002184553823154034,0.000180523227241846,2.560430162661831e-05,3.4399210831298495e-06,0.13147792462886038,0.0,0.016904122288233337,3.33166736514781e-05,0.0055710287560721515,1.0980052309385767e-05,0,63.44701040520505,15
7,X,201,0.13154530978126555,0.0,0.016691547962749357,3.1308104192407014e-05,0.002091662113274087,0.00016524467001647816,3.334299764851611e-05,3.277615968128311e-06,0.13154530978126555,0.0,0.016691547962749357,3.1308104192407014e-05,0.005503790787176817,1.0323383774991649e-05,0,17.623330035630328,15
